phase,trial_id,alpha,gamma,epsilon,obs_mul_factor,iterations,eval_episodes,mean_score,min_score,max_score,std_score,q_size,training_seconds,model_path,scores
screen,baseline,0.7,0.95,0.0,30,30000,20,73.9000015258789,5,132,42.03915023803711,14868,224.143,,"[132, 28, 22, 56, 5, 132, 61, 49, 82, 62, 132, 132, 20, 37, 65, 103, 116, 56, 132, 56]"
screen,a05_g090_e005_m30,0.5,0.9,0.05,30,30000,20,54.849998474121094,5,132,45.45577621459961,17125,31.696,,"[16, 132, 9, 56, 6, 58, 24, 12, 132, 51, 35, 5, 103, 9, 33, 48, 132, 88, 124, 24]"
screen,a06_g099_e005_m30,0.6,0.99,0.05,30,30000,20,49.45000076293945,4,132,42.67842102050781,21660,30.708,,"[46, 12, 8, 132, 18, 10, 83, 71, 63, 13, 132, 37, 17, 84, 10, 22, 4, 33, 62, 132]"
screen,a07_g095_e005_m30,0.7,0.95,0.05,30,30000,20,30.799999237060547,5,132,26.94550132751465,21125,30.37,,"[7, 39, 34, 44, 26, 47, 132, 31, 27, 20, 53, 32, 20, 5, 9, 6, 28, 13, 31, 12]"
screen,a06_g095_e005_m30,0.6,0.95,0.05,30,30000,20,28.75,0,132,41.14228439331055,21016,32.797,,"[0, 8, 16, 73, 2, 55, 0, 16, 0, 68, 1, 0, 2, 37, 22, 132, 11, 0, 0, 132]"
screen,a07_g099_e005_m30,0.7,0.99,0.05,30,30000,20,23.0,4,50,15.059880256652832,21673,29.792,,"[50, 20, 9, 14, 35, 45, 13, 38, 44, 11, 17, 5, 15, 32, 21, 6, 11, 49, 21, 4]"
screen,a06_g099_e010_m24,0.6,0.99,0.1,24,30000,20,20.25,0,103,25.795106887817383,15395,22.718,,"[33, 19, 18, 25, 103, 12, 8, 0, 56, 66, 0, 5, 0, 0, 3, 15, 3, 16, 14, 9]"
screen,a05_g095_e005_m30,0.5,0.95,0.05,30,30000,20,20.100000381469727,2,53,14.703400611877441,21469,32.507,,"[13, 8, 53, 17, 8, 5, 35, 49, 8, 20, 34, 17, 29, 7, 2, 2, 35, 29, 17, 14]"
screen,a05_g099_e005_m30,0.5,0.99,0.05,30,30000,20,18.950000762939453,1,80,20.514568328857422,21498,30.911,,"[1, 8, 22, 3, 5, 58, 3, 4, 45, 25, 1, 29, 20, 22, 21, 12, 3, 80, 16, 1]"
screen,a07_g095_e010_m30,0.7,0.95,0.1,30,30000,20,14.050000190734863,0,43,13.525808334350586,21053,22.047,,"[11, 8, 7, 22, 18, 5, 0, 18, 0, 4, 38, 29, 43, 14, 20, 38, 5, 0, 0, 1]"
screen,a06_g095_e010_m24,0.6,0.95,0.1,24,30000,20,13.949999809265137,0,35,11.855273246765137,15000,23.04,,"[8, 22, 20, 0, 0, 13, 10, 29, 8, 0, 0, 30, 28, 16, 30, 35, 4, 4, 22, 0]"
screen,a07_g090_e005_m30,0.7,0.9,0.05,30,30000,20,10.199999809265137,1,39,9.113725662231445,18646,29.06,,"[1, 22, 5, 3, 16, 25, 11, 39, 14, 8, 7, 1, 5, 2, 5, 7, 11, 7, 6, 9]"
screen,a08_g099_e005_m30,0.8,0.99,0.05,30,30000,20,8.550000190734863,1,32,6.924413204193115,21592,25.599,,"[10, 4, 5, 11, 19, 4, 13, 5, 12, 32, 8, 10, 4, 11, 4, 3, 2, 8, 1, 5]"
screen,a08_g099_e010_m36,0.8,0.99,0.1,36,30000,20,4.349999904632568,1,12,2.797766923904419,20253,18.013,,"[5, 12, 3, 3, 3, 3, 6, 6, 6, 3, 9, 2, 6, 1, 1, 3, 8, 2, 3, 2]"
screen,a07_g099_e010_m36,0.7,0.99,0.1,36,30000,20,3.950000047683716,1,15,3.153965711593628,19546,18.608,,"[9, 6, 3, 3, 3, 3, 15, 2, 3, 3, 1, 5, 3, 2, 4, 1, 3, 6, 3, 1]"
screen,a07_g099_e010_m30,0.7,0.99,0.1,30,30000,20,3.799999952316284,0,16,4.214261531829834,21519,21.465,,"[8, 2, 2, 0, 2, 2, 1, 2, 2, 0, 1, 1, 5, 7, 4, 6, 1, 13, 1, 16]"
screen,a07_g095_e010_m36,0.7,0.95,0.1,36,30000,20,3.549999952316284,1,7,1.8834807872772217,18656,20.032,,"[3, 7, 3, 4, 3, 3, 5, 2, 2, 3, 1, 1, 3, 3, 7, 7, 4, 6, 3, 1]"
screen,a08_g095_e005_m30,0.8,0.95,0.05,30,30000,20,2.700000047683716,0,5,1.5842978954315186,21140,27.434,,"[3, 2, 5, 1, 1, 5, 2, 5, 4, 1, 0, 2, 3, 5, 1, 1, 2, 4, 3, 4]"
retrain,baseline,0.7,0.95,0.0,30,100000,50,90.5199966430664,3,132,46.381996154785156,14912,903.774,/home/cells/flappybird/results/models/baseline_100000.pkl,"[19, 54, 3, 126, 132, 132, 132, 132, 39, 132, 11, 21, 76, 29, 132, 132, 132, 72, 132, 132, 124, 96, 132, 89, 98, 132, 119, 125, 121, 132, 26, 7, 132, 32, 33, 33, 132, 83, 33, 132, 26, 132, 53, 107, 53, 132, 132, 132, 132, 46]"
retrain,a05_g090_e005_m30,0.5,0.9,0.05,30,100000,50,82.4800033569336,2,132,47.134376525878906,18823,116.107,/home/cells/flappybird/results/models/a05_g090_e005_m30_100000.pkl,"[102, 4, 106, 95, 132, 78, 4, 71, 88, 132, 105, 132, 69, 70, 132, 9, 2, 132, 132, 31, 102, 3, 68, 132, 103, 132, 63, 120, 25, 45, 36, 17, 132, 31, 20, 66, 132, 132, 132, 132, 132, 20, 132, 132, 53, 125, 35, 132, 17, 97]"
retrain,a06_g099_e005_m30,0.6,0.99,0.05,30,100000,50,51.02000045776367,4,132,35.56486511230469,22132,109.572,/home/cells/flappybird/results/models/a06_g099_e005_m30_100000.pkl,"[11, 106, 34, 20, 26, 26, 10, 33, 43, 43, 124, 32, 132, 74, 14, 41, 124, 62, 109, 9, 26, 22, 19, 8, 14, 46, 64, 59, 35, 92, 86, 58, 38, 88, 64, 8, 88, 55, 10, 45, 128, 71, 105, 26, 58, 4, 20, 58, 40, 43]"
