phase,trial_id,alpha,gamma,epsilon,obs_mul_factor,state_mode,reward_mode,iterations,eval_episodes,mean_score,min_score,max_score,std_score,q_size,training_seconds,model_path,scores
screen,enhanced_reward_base,0.7,0.95,0.0,30,enhanced,death_penalty,30000,20,120.19999694824219,46,132,26.577434539794922,13662,294.738,,"[132, 132, 106, 132, 132, 132, 132, 132, 46, 132, 132, 132, 132, 46, 132, 94, 132, 132, 132, 132]"
screen,enhanced_shaped_e000,0.7,0.95,0.0,30,enhanced,shaped,30000,20,119.94999694824219,9,132,36.15864181518555,11461,352.005,,"[132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 9, 132, 132, 132, 132, 14]"
screen,bonus_reward_base,0.7,0.95,0.0,30,bonus,death_penalty,30000,20,115.9000015258789,22,132,32.296905517578125,21940,284.844,,"[132, 123, 22, 132, 132, 132, 132, 132, 132, 132, 132, 132, 132, 65, 132, 132, 132, 56, 132, 72]"
screen,bonus_shaped_e000,0.7,0.95,0.0,30,bonus,shaped,30000,20,111.4000015258789,5,132,43.081783294677734,20568,323.1,,"[132, 132, 22, 101, 132, 132, 132, 5, 132, 132, 132, 5, 132, 132, 132, 132, 132, 115, 132, 132]"
screen,enhanced_shaped_e005,0.7,0.95,0.05,30,enhanced,shaped,30000,20,91.69999694824219,25,132,41.464561462402344,20244,39.894,,"[127, 124, 25, 106, 25, 41, 132, 132, 49, 132, 32, 52, 132, 132, 132, 91, 77, 52, 132, 109]"
screen,example_reward_base,0.7,0.95,0.0,30,example,death_penalty,30000,20,63.70000076293945,5,132,38.6925048828125,10498,252.864,,"[62, 112, 25, 56, 98, 58, 132, 89, 55, 31, 53, 5, 8, 98, 13, 103, 132, 38, 74, 32]"
screen,enhanced_shaped_g090,0.5,0.9,0.05,30,enhanced,shaped,30000,20,45.849998474121094,7,132,39.92151641845703,16294,42.342,,"[33, 9, 94, 95, 40, 7, 17, 42, 19, 93, 93, 111, 12, 52, 13, 12, 14, 16, 132, 13]"
screen,bonus_shaped_e005,0.7,0.95,0.05,30,bonus,shaped,30000,20,10.149999618530273,0,49,13.176778793334961,30779,37.625,,"[0, 9, 5, 22, 2, 11, 41, 5, 2, 8, 1, 0, 19, 10, 13, 1, 49, 3, 1, 1]"
retrain,enhanced_reward_base,0.7,0.95,0.0,30,enhanced,death_penalty,100000,50,122.3,2,634,126.11,15150,979.27,results_bonus/models/enhanced_reward_base_100000.pkl,"[163, 29, 34, 491, 137, 44, 191, 10, 134, 67, 142, 74, 44, 200, 83, 10, 347, 62, 10, 31, 191, 167, 19, 25, 206, 124, 200, 191, 113, 187, 257, 29, 242, 283, 29, 634, 28, 137, 10, 40, 5, 19, 2, 20, 194, 28, 113, 32, 250, 37]"
retrain,enhanced_shaped_e000,0.7,0.95,0.0,30,enhanced,shaped,100000,50,109.04,1,482,108.71,13431,1108.256,results_bonus/models/enhanced_shaped_e000_100000.pkl,"[17, 226, 86, 398, 137, 44, 86, 181, 23, 125, 272, 20, 23, 71, 73, 29, 200, 215, 61, 16, 1, 59, 29, 25, 124, 13, 59, 173, 79, 200, 98, 13, 163, 43, 32, 49, 10, 37, 22, 166, 74, 16, 190, 482, 28, 373, 16, 242, 79, 254]"
retrain,bonus_reward_base,0.7,0.95,0.0,30,bonus,death_penalty,100000,50,67.74,1,331,77.52,26451,902.636,results_bonus/models/bonus_reward_base_100000.pkl,"[19, 166, 35, 79, 118, 30, 10, 41, 14, 67, 239, 28, 1, 101, 131, 10, 49, 40, 11, 35, 95, 10, 32, 34, 44, 66, 49, 107, 324, 71, 4, 1, 4, 183, 1, 2, 29, 27, 196, 180, 331, 53, 52, 127, 35, 26, 35, 8, 14, 23]"
